step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
735,1.30414,0.70197,,
736,1.23925,0.70118,,
737,1.20472,0.72653,,
738,1.40009,0.6875,,
739,1.19146,0.73473,,
740,1.16232,0.73559,,
741,1.36462,0.6867,,
742,1.51911,0.64752,,
743,1.23373,0.72475,,
744,1.694,0.65364,,
745,1.28129,0.6927,,
746,1.23143,0.73843,,
747,1.16931,0.71462,,
748,1.32375,0.67677,,
749,1.2189,0.72336,,
750,1.12701,0.73141,,
751,1.32786,0.69423,,
752,1.25897,0.70625,,
753,1.32843,0.70092,,
754,1.36649,0.70101,,
755,1.27522,0.71044,,
756,1.25961,0.73913,,
757,1.17519,0.74655,,
758,1.40442,0.6862,,
759,1.21283,0.71747,,
760,1.70996,0.67246,,
761,1.21786,0.73929,,
762,1.47104,0.70259,,
763,1.34886,0.70842,,
764,1.45211,0.67652,,
765,1.39557,0.7093,,
766,1.28079,0.74232,,
767,1.59876,0.66747,,
768,1.21954,0.74135,,
769,1.15355,0.72744,,
770,1.30757,0.70141,,
771,1.305,0.69042,,
772,1.4961,0.6615,,
773,1.10516,0.73672,,
774,1.59231,0.63793,,
775,1.33181,0.70881,,
776,1.67708,0.63473,,
777,1.30996,0.71608,,
778,1.4479,0.70962,,
779,1.2277,0.72906,,
780,1.11957,0.72,,
781,1.43044,0.69155,,
782,1.14229,0.74737,,
783,0.98936,0.76748,,
784,1.60059,0.67019,,
785,1.09914,0.74896,,
786,1.04063,0.73896,,
787,1.27494,0.72167,,
788,0.90388,0.76609,,
789,1.13662,0.76419,,
790,1.22429,0.72912,,
791,1.16686,0.73937,,
792,1.40963,0.67489,,
793,1.46141,0.6979,,
794,1.38877,0.678,,
795,0.96976,0.74751,,
796,0.97541,0.79096,,
797,1.06406,0.75,,
798,1.24077,0.69763,,
799,1.4143,0.70334,,
800,1.12551,0.72811,,
801,1.115,0.75086,1.54256,0.54428
802,1.11015,0.7341,,
803,1.06469,0.74395,,
804,1.14708,0.712,,
805,1.49817,0.69005,,
806,1.274,0.69651,,
807,1.1381,0.74524,,
808,1.19825,0.71078,,
809,1.16794,0.74164,,
810,1.00681,0.76033,,
811,1.15367,0.76356,,
812,1.07307,0.74275,,
813,1.49946,0.67462,,
814,1.28997,0.71321,,
815,1.17375,0.72198,,
816,1.11441,0.77254,,
817,1.11502,0.74563,,
818,1.21552,0.73153,,
819,1.133,0.76342,,
820,1.46405,0.68994,,
821,0.99402,0.76182,,
822,1.1822,0.72797,,
823,1.07875,0.75544,,
824,1.03257,0.78008,,
825,1.01272,0.75424,,
826,1.17499,0.71513,,
827,1.18152,0.74424,,
828,0.97773,0.7827,,
829,1.41674,0.70518,,
830,0.99132,0.7724,,
831,1.06532,0.76054,,
832,0.97176,0.77046,,
833,1.2619,0.67185,,
834,1.26395,0.70588,,
835,1.06436,0.75223,,
836,1.25146,0.72523,,
837,1.27789,0.70737,,
838,1.26719,0.69309,,
839,1.20829,0.7343,,
840,1.28263,0.71179,,
841,1.32095,0.71336,,
842,1.05093,0.742,,
843,1.50508,0.66876,,
844,1.04708,0.74824,,
845,1.0518,0.76636,,
846,0.94132,0.772,,
847,1.16002,0.72959,,
848,1.43438,0.68263,,
849,1.22161,0.71767,,
850,1.16088,0.73982,,
851,1.105,0.7575,,
852,1.41727,0.69231,,
853,1.25634,0.72778,,
854,1.11893,0.73092,,
855,1.01493,0.77711,,
856,1.21656,0.73589,,
857,1.24676,0.70248,,
858,1.20551,0.73935,,
859,1.45711,0.71127,,
860,1.07623,0.73244,,
861,1.28438,0.72957,,
862,1.11642,0.73961,,
863,1.06558,0.75177,,
864,1.23773,0.73852,,
865,1.3624,0.70474,,
866,1.06738,0.75795,,
867,0.9865,0.76815,,
868,1.26297,0.73156,,
869,1.19223,0.74442,,
870,1.05496,0.75904,,
871,1.29987,0.67303,,
872,1.56945,0.66302,,
873,1.02532,0.74095,,
874,1.17932,0.73656,,
875,1.07243,0.75711,,
876,1.12434,0.70849,,
877,1.31053,0.71348,,
878,1.23142,0.71963,,
879,1.17149,0.72389,,
880,1.21565,0.73054,,
881,1.20131,0.71484,,
882,1.27428,0.70169,,
883,1.07026,0.76514,,
884,1.16341,0.73872,,
885,1.2291,0.69555,,
886,1.29415,0.6989,,
887,1.07706,0.7619,,
888,1.1071,0.73755,,
889,1.14149,0.74922,,
890,1.4176,0.69099,,
891,1.01204,0.74327,,
892,1.11198,0.73827,,
893,1.06013,0.77516,,
894,1.26472,0.72708,,
895,1.34432,0.66109,,
896,1.0988,0.75,,
897,1.19834,0.73121,,
898,1.1656,0.72907,,
899,1.19965,0.71071,,
900,1.21108,0.74221,,
901,1.23071,0.72963,1.56359,0.52431
902,1.26541,0.70324,,
903,1.34525,0.71901,,
904,0.97243,0.78832,,
905,1.15905,0.76042,,
906,1.16409,0.7,,
907,1.14951,0.73552,,
908,0.99669,0.75348,,
909,1.20258,0.72257,,
910,1.06118,0.77996,,
911,1.21252,0.72506,,
912,0.97208,0.7792,,
913,1.26871,0.7284,,
914,1.26613,0.73931,,
915,1.17403,0.71589,,
916,1.19645,0.74369,,
917,0.93191,0.78812,,
918,1.22777,0.74194,,
919,1.09424,0.74614,,
920,1.23207,0.71484,,
921,1.06436,0.78634,,
922,1.0793,0.73946,,
923,1.27623,0.72082,,
924,1.19309,0.73012,,
925,1.06067,0.73047,,
926,1.03018,0.76014,,
927,1.20098,0.7227,,
928,1.19662,0.72674,,
929,1.3353,0.73975,,
930,1.27439,0.69187,,
931,1.27379,0.73137,,
932,1.21236,0.74728,,
933,1.23871,0.70196,,
934,0.9047,0.80344,,
935,0.98416,0.76923,,
936,1.18751,0.72157,,
937,1.26828,0.7542,,
938,1.13284,0.75538,,
939,1.13717,0.72263,,
940,1.31374,0.72158,,
941,1.13865,0.73455,,
942,1.13438,0.74573,,
943,0.98132,0.77927,,
944,1.31792,0.70362,,
945,1.08391,0.74153,,
946,1.22029,0.73051,,
947,1.38418,0.71226,,
948,1.07949,0.78812,,
949,1.16193,0.73095,,
950,1.10051,0.72553,,
951,1.15128,0.73684,,
952,0.88766,0.78435,,
953,1.2017,0.71498,,
954,1.32077,0.71124,,
955,0.99772,0.7898,,
956,1.26046,0.70623,,
957,1.18608,0.75634,,
958,1.15266,0.72143,,
959,1.08964,0.75551,,
960,0.84478,0.77718,,
961,1.12049,0.7608,,
962,1.23377,0.73881,,
963,1.11998,0.73892,,
964,1.31474,0.7072,,
965,1.11965,0.74163,,
966,0.86858,0.80769,,
967,1.09362,0.74908,,
968,0.98111,0.77003,,
969,1.42824,0.69488,,
970,1.07753,0.75135,,
971,0.95359,0.75636,,
972,1.03171,0.78351,,
973,0.9756,0.75885,,
974,1.04411,0.77818,,
975,0.88954,0.7938,,
976,0.96662,0.75826,,
977,0.95601,0.76527,,
978,0.88187,0.77419,,
979,1.24584,0.72761,,
980,1.09641,0.73363,,
981,1.01009,0.77231,,
982,0.87424,0.79795,,
983,1.1206,0.73852,,
984,1.00338,0.75931,,
985,1.03574,0.75895,,
